trip,mark,length,weight,year,section,species
1,0,288,175,1989,Johnsrud,RBT
1,0,288,190,1989,Johnsrud,RBT
1,0,285,245,1989,Johnsrud,RBT
1,0,322,275,1989,Johnsrud,RBT
1,0,312,300,1989,Johnsrud,RBT
1,0,363,380,1989,Johnsrud,RBT
1,0,269,170,1989,Johnsrud,RBT
1,0,160,40,1989,Johnsrud,RBT
1,0,213,80,1989,Johnsrud,RBT
1,0,157,35,1989,Johnsrud,RBT
1,0,143,35,1989,Johnsrud,RBT
1,0,179,70,1989,Johnsrud,RBT
1,0,199,100,1989,Johnsrud,RBT
1,0,196,95,1989,Johnsrud,RBT
1,0,163,60,1989,Johnsrud,RBT
1,0,243,135,1989,Johnsrud,RBT
1,0,218,145,1989,Johnsrud,RBT
1,0,159,65,1989,Johnsrud,RBT
1,0,131,50,1989,Johnsrud,RBT
1,0,132,50,1989,Johnsrud,RBT
1,0,195,95,1989,Johnsrud,RBT
1,0,236,155,1989,Johnsrud,RBT
1,0,156,65,1989,Johnsrud,RBT
1,0,138,35,1989,Johnsrud,RBT
1,0,198,90,1989,Johnsrud,RBT
1,0,154,40,1989,Johnsrud,RBT
1,0,171,35,1989,Johnsrud,RBT
1,0,247,155,1989,Johnsrud,RBT
1,0,92,10,1989,Johnsrud,RBT
1,0,88,10,1989,Johnsrud,RBT
1,0,195,60,1989,Johnsrud,RBT
1,0,174,45,1989,Johnsrud,RBT
1,0,242,130,1989,Johnsrud,RBT
1,0,158,35,1989,Johnsrud,RBT
1,0,168,45,1989,Johnsrud,RBT
1,0,163,45,1989,Johnsrud,RBT
1,0,159,40,1989,Johnsrud,RBT
1,0,100,10,1989,Johnsrud,RBT
1,0,172,50,1989,Johnsrud,RBT
1,0,173,55,1989,Johnsrud,RBT
1,0,212,105,1989,Johnsrud,RBT
1,0,252,150,1989,Johnsrud,RBT
1,0,182,60,1989,Johnsrud,RBT
1,0,183,65,1989,Johnsrud,RBT
1,0,183,70,1989,Johnsrud,RBT
1,0,166,50,1989,Johnsrud,RBT
1,0,167,50,1989,Johnsrud,RBT
1,0,172,60,1989,Johnsrud,RBT
1,0,85,10,1989,Johnsrud,RBT
1,0,84,10,1989,Johnsrud,RBT
1,0,145,45,1989,Johnsrud,RBT
1,0,188,60,1989,Johnsrud,RBT
1,0,154,40,1989,Johnsrud,RBT
1,0,181,60,1989,Johnsrud,RBT
1,0,107,15,1989,Johnsrud,RBT
1,0,171,45,1989,Johnsrud,RBT
1,0,142,45,1989,Johnsrud,RBT
1,0,100,10,1989,Johnsrud,RBT
1,0,282,160,1989,Johnsrud,RBT
1,0,232,80,1989,Johnsrud,RBT
1,0,181,70,1989,Johnsrud,RBT
1,0,213,80,1989,Johnsrud,RBT
1,0,172,25,1989,Johnsrud,RBT
1,0,135,10,1989,Johnsrud,RBT
1,0,189,40,1989,Johnsrud,RBT
1,0,152,20,1989,Johnsrud,RBT
1,0,185,35,1989,Johnsrud,RBT
1,0,196,45,1989,Johnsrud,RBT
1,0,179,25,1989,Johnsrud,RBT
1,0,185,50,1989,Johnsrud,RBT
1,0,219,70,1989,Johnsrud,RBT
1,0,150,20,1989,Johnsrud,RBT
1,0,185,50,1989,Johnsrud,RBT
1,0,216,70,1989,Johnsrud,RBT
1,0,198,45,1989,Johnsrud,RBT
1,0,168,25,1989,Johnsrud,RBT
1,0,196,70,1989,Johnsrud,RBT
1,0,164,40,1989,Johnsrud,RBT
1,0,170,70,1989,Johnsrud,RBT
1,0,170,40,1989,Johnsrud,RBT
1,0,173,45,1989,Johnsrud,RBT
1,0,157,50,1989,Johnsrud,RBT
1,0,168,40,1989,Johnsrud,RBT
1,0,173,25,1989,Johnsrud,RBT
1,0,162,45,1989,Johnsrud,RBT
1,0,153,35,1989,Johnsrud,RBT
1,0,143,25,1989,Johnsrud,RBT
1,0,158,35,1989,Johnsrud,RBT
1,0,82,10,1989,Johnsrud,RBT
1,0,153,40,1989,Johnsrud,RBT
1,0,165,40,1989,Johnsrud,RBT
1,0,157,25,1989,Johnsrud,RBT
1,0,156,30,1989,Johnsrud,RBT
1,0,138,20,1989,Johnsrud,RBT
1,0,138,20,1989,Johnsrud,RBT
1,0,152,35,1989,Johnsrud,RBT
1,0,141,25,1989,Johnsrud,RBT
1,0,138,35,1989,Johnsrud,RBT
1,0,138,30,1989,Johnsrud,RBT
1,0,195,45,1989,Johnsrud,RBT
1,0,143,30,1989,Johnsrud,RBT
1,0,298,235,1989,Johnsrud,RBT
1,0,235,115,1989,Johnsrud,RBT
1,0,183,70,1989,Johnsrud,RBT
1,0,130,25,1989,Johnsrud,RBT
1,0,133,25,1989,Johnsrud,RBT
1,0,217,95,1989,Johnsrud,RBT
1,0,163,45,1989,Johnsrud,RBT
1,0,151,50,1989,Johnsrud,RBT
1,0,152,35,1989,Johnsrud,RBT
1,0,143,40,1989,Johnsrud,RBT
1,0,148,50,1989,Johnsrud,RBT
1,0,154,35,1989,Johnsrud,RBT
1,0,130,35,1989,Johnsrud,RBT
1,0,103,10,1989,Johnsrud,RBT
1,0,345,395,1989,Johnsrud,RBT
1,0,318,295,1989,Johnsrud,RBT
1,0,300,240,1989,Johnsrud,RBT
1,0,264,155,1989,Johnsrud,RBT
1,0,299,205,1989,Johnsrud,RBT
1,0,260,160,1989,Johnsrud,RBT
1,0,274,170,1989,Johnsrud,RBT
1,0,237,115,1989,Johnsrud,RBT
1,0,214,85,1989,Johnsrud,RBT
1,0,242,120,1989,Johnsrud,RBT
1,0,254,130,1989,Johnsrud,RBT
1,0,213,90,1989,Johnsrud,RBT
1,0,228,95,1989,Johnsrud,RBT
1,0,212,75,1989,Johnsrud,RBT
1,0,228,100,1989,Johnsrud,RBT
1,0,248,130,1989,Johnsrud,RBT
1,0,240,110,1989,Johnsrud,RBT
1,0,218,95,1989,Johnsrud,RBT
1,0,223,95,1989,Johnsrud,RBT
1,0,183,55,1989,Johnsrud,RBT
1,0,227,110,1989,Johnsrud,RBT
1,0,216,70,1989,Johnsrud,RBT
1,0,261,145,1989,Johnsrud,RBT
1,0,243,110,1989,Johnsrud,RBT
1,0,212,135,1989,Johnsrud,RBT
1,0,195,70,1989,Johnsrud,RBT
1,0,221,85,1989,Johnsrud,RBT
1,0,237,110,1989,Johnsrud,RBT
1,0,208,70,1989,Johnsrud,RBT
1,0,241,115,1989,Johnsrud,RBT
1,0,205,75,1989,Johnsrud,RBT
1,0,185,55,1989,Johnsrud,RBT
1,0,176,40,1989,Johnsrud,RBT
1,0,200,65,1989,Johnsrud,RBT
1,0,191,55,1989,Johnsrud,RBT
1,0,191,55,1989,Johnsrud,RBT
1,0,180,45,1989,Johnsrud,RBT
1,0,189,45,1989,Johnsrud,RBT
1,0,168,35,1989,Johnsrud,RBT
1,0,175,55,1989,Johnsrud,RBT
1,0,172,35,1989,Johnsrud,RBT
1,0,167,30,1989,Johnsrud,RBT
1,0,185,45,1989,Johnsrud,RBT
1,0,169,25,1989,Johnsrud,RBT
1,0,199,60,1989,Johnsrud,RBT
1,0,173,35,1989,Johnsrud,RBT
1,0,169,40,1989,Johnsrud,RBT
1,0,172,35,1989,Johnsrud,RBT
1,0,154,20,1989,Johnsrud,RBT
1,0,163,40,1989,Johnsrud,RBT
1,0,182,40,1989,Johnsrud,RBT
1,0,173,40,1989,Johnsrud,RBT
1,0,158,30,1989,Johnsrud,RBT
1,0,195,60,1989,Johnsrud,RBT
1,0,180,50,1989,Johnsrud,RBT
1,0,170,35,1989,Johnsrud,RBT
1,0,159,30,1989,Johnsrud,RBT
1,0,162,25,1989,Johnsrud,RBT
1,0,150,30,1989,Johnsrud,RBT
1,0,155,35,1989,Johnsrud,RBT
1,0,175,40,1989,Johnsrud,RBT
1,0,158,30,1989,Johnsrud,RBT
1,0,149,25,1989,Johnsrud,RBT
1,0,152,15,1989,Johnsrud,RBT
1,0,175,40,1989,Johnsrud,RBT
1,0,160,30,1989,Johnsrud,RBT
1,0,140,20,1989,Johnsrud,RBT
1,0,184,45,1989,Johnsrud,RBT
1,0,146,25,1989,Johnsrud,RBT
1,0,145,10,1989,Johnsrud,RBT
1,0,147,25,1989,Johnsrud,RBT
1,0,139,20,1989,Johnsrud,RBT
1,0,140,15,1989,Johnsrud,RBT
1,0,145,25,1989,Johnsrud,RBT
1,0,83,10,1989,Johnsrud,RBT
1,0,106,10,1989,Johnsrud,RBT
1,0,90,10,1989,Johnsrud,RBT
1,0,90,10,1989,Johnsrud,RBT
1,0,94,10,1989,Johnsrud,RBT
1,0,89,10,1989,Johnsrud,RBT
1,0,85,10,1989,Johnsrud,RBT
